sim_id,income_shock,debt_shock,late_event_prob,auc_roc,f1,recall,precision,default_rate_pred,mean_pd
138,0.810287806224427,1.3480435516038878,0.04253109686774683,0.8593301295806621,0.3974732750242954,0.6136534133533383,0.2939274164570607,0.13915,0.09362076267291172
139,0.7849049582832116,1.1838322349568673,0.06981141262174503,0.8603133064832609,0.40585562847046946,0.6031507876969242,0.3058197033092431,0.13145,0.08963088194310531
140,0.7856352129392856,1.207360804635131,0.07131243173649786,0.8597818013993506,0.40540540540540543,0.6076519129782446,0.3041682313180623,0.13315,0.09065062135050492
141,0.9599726756254257,1.2276963269668546,0.05401962149412911,0.8597547549420166,0.4151345590194511,0.5843960990247562,0.321900826446281,0.121,0.08415442777037503
142,0.7229706568821038,1.3069158335606637,0.01716096934864718,0.859820803757215,0.40353460972017674,0.6166541635408852,0.2998905508938344,0.13705,0.09333725213331234
143,0.8306640988559173,1.278766744865933,0.022025896888656662,0.8595640633520464,0.4039136979427998,0.6039009752438109,0.3034300791556728,0.13265,0.09124959298078639
144,0.7004507131229537,1.1170645898549674,0.020149143823445497,0.8610902591721751,0.4109947643979058,0.5888972243060765,0.3156413349416968,0.12435,0.08587928287635328
145,0.833951923400904,1.264405580293001,0.07352900611033447,0.8593325207607683,0.4025717111770524,0.6106526631657915,0.300258207303578,0.13555,0.092559200453109
146,0.9290656733995474,1.3211053022143238,0.06913328936504874,0.8590963163729809,0.4110712455151205,0.6016504126031508,0.31218372907746206,0.12845,0.0888538237105373
147,0.7180763461982262,1.0778976133012648,0.040955503698518886,0.8598349900862476,0.41537640149492794,0.5836459114778695,0.322420223787816,0.12065,0.0840581806409179
148,0.9541077151689272,1.3140859295431866,0.046804094730397594,0.8597161946510627,0.40859658208182287,0.5918979744936234,0.31198102016607354,0.12645,0.08732555123405301
149,0.7919676416566076,1.0846033005783253,0.061512490388411604,0.8586872839171918,0.41302027748132336,0.5806451612903226,0.3204968944099379,0.12075,0.08451840266788581
150,0.9291522207336954,1.1829751858067978,0.06961596577678618,0.8597172596304377,0.41273209549071616,0.5836459114778695,0.3192449733278621,0.12185,0.08482369820159816
151,0.9154920136997551,1.2657601359494408,0.03203511131631508,0.859843530015198,0.411522633744856,0.6001500375093773,0.3131115459882583,0.12775,0.08744356649133384
152,0.810878943034563,1.0484478170378961,0.045164820210460505,0.8594456497019203,0.41566265060240964,0.5693923480870218,0.32729624838292365,0.11595,0.08173597409292858
153,0.8529858774669047,1.268885373863993,0.07677287369230311,0.8592027540286261,0.404472049689441,0.6106526631657915,0.30237741456166417,0.1346,0.09232067107139832
154,0.8511185520797737,1.0821933528245562,0.0517896591583469,0.8596652363926682,0.4151967435549525,0.5738934733683421,0.3252551020408163,0.1176,0.0832465459227056
155,0.774271651292978,1.1437869818085598,0.040402116975100426,0.8599383332735204,0.4105098855359001,0.5918979744936234,0.3142174432497013,0.12555,0.08676346992278157
156,0.7629748080428381,1.18914718825459,0.045882613712095024,0.8607641745439307,0.40865139949109414,0.6024006001500375,0.3092029264536003,0.12985,0.0891739398922309
157,0.846670119933172,1.198947646527435,0.025530634619446865,0.8605266037675111,0.408142231383664,0.5941485371342836,0.3108320251177394,0.1274,0.08777633313350025
158,0.9581256380501608,1.01852189458475,0.05084297763617531,0.8607838666153922,0.4253554502369668,0.5386346586646662,0.35144395496818404,0.10215,0.07384710015448828
159,0.7681925581629498,1.156322018278009,0.05286518335261349,0.8595812034917981,0.4102960102960103,0.5978994748687172,0.3123040752351097,0.1276,0.08776411716075302
160,0.7682834072251298,1.017532622843513,0.024390739832610406,0.8605016269870757,0.421976777116964,0.5588897224306076,0.33894449499545043,0.1099,0.0784618565170087
161,0.9341105426939336,1.0542860312300462,0.0651640112070888,0.8585940479870061,0.4179698606767131,0.5513878469617405,0.33653846153846156,0.1092,0.07847904245827711
162,0.7250441059128359,1.0189923123423583,0.06814255497189049,0.860573302108406,0.4177777777777778,0.5641410352588146,0.3317159241288046,0.11335,0.08050117315795281
163,0.7413772494083228,1.301211304012017,0.020025647842672467,0.8596946338422073,0.40137558339474333,0.6129032258064516,0.29839298758217675,0.1369,0.09287815311194983
164,0.9138632402859175,1.2778050182222764,0.013449919929926167,0.860363903050547,0.41228070175438597,0.5993998499624906,0.3141958316948486,0.12715,0.08733806532076115
165,0.8412923565336282,1.0479032441376506,0.017175113020394518,0.8606192569731332,0.41736227045075125,0.5626406601650412,0.33171163202122955,0.11305,0.080312444496183
166,0.9076138972317038,1.2073606576630764,0.046937429475125594,0.8603884578580226,0.41294701122422345,0.5933983495873969,0.3166533226581265,0.1249,0.08619659427010724
167,0.771135352865737,1.1880666710827628,0.012038437269874587,0.8600723599231623,0.4090210148641722,0.5986496624156039,0.3106267029972752,0.12845,0.08776477477570777
168,0.8246420243280741,1.1189269888048918,0.06501625645135414,0.858757210864831,0.40913865546218486,0.5843960990247562,0.3147474747474747,0.12375,0.08608412106808584
169,0.7829620309035636,1.2265042640038113,0.05178250501680109,0.8603612908369859,0.40380761523046094,0.6046511627906976,0.3031214742384355,0.13295,0.0908118601476279
170,0.8576866187524462,1.2907695343227767,0.07889488441595652,0.8597645005079951,0.40276748208549545,0.6114028507126782,0.3002947678703021,0.1357,0.09305206685073793
171,0.773714755455128,1.2974514302253937,0.06966063530683546,0.8593804046447406,0.3978728547256466,0.6174043510877719,0.293509272467903,0.1402,0.0943059880229468
172,0.7169193197208419,1.2810996158878225,0.06477993933101042,0.8598061753612721,0.4041727316836487,0.6249062265566392,0.2986733596271065,0.13945,0.09436869045305284
173,0.8626686709526954,1.1417693679148502,0.04251266018759923,0.859832659187993,0.4090312417957469,0.5843960990247562,0.31462035541195477,0.1238,0.08538816007429968
174,0.7306680587662749,1.251704992605163,0.02247960646949628,0.8602247524435349,0.4060787244643747,0.6114028507126782,0.3039910481163745,0.13405,0.09133381193747526
175,0.8188582817414262,1.112614477372784,0.0747094032126746,0.8588336281584726,0.4092827004219409,0.582145536384096,0.31557543716958114,0.12295,0.08600425101557754
176,0.7875858243938144,1.0006077506697117,0.044508394172037155,0.8607233838244743,0.4277456647398844,0.5551387846961741,0.34790785143394454,0.10635,0.07695783414120497
177,0.9173919391192993,1.0493501997779986,0.055567368082754476,0.8603260259539091,0.42001130582249857,0.5573893473368342,0.33696145124716553,0.11025,0.07864799971069988
